Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,146.270004,149.809998,144.440002,145.369995,145.369995,0
2012-03-01,144.960007,150.660004,144.000000,150.320007,150.320007,0
2012-04-01,150.360001,154.720001,144.339996,153.339996,153.339996,0
2012-05-01,154.289993,156.539993,144.389999,147.550003,147.550003,0
2012-06-01,147.800003,155.429993,144.339996,155.419998,155.419998,0
2012-07-01,155.419998,160.550003,154.610001,158.410004,158.410004,0
2012-08-01,158.729996,160.220001,155.460007,158.479996,158.479996,0
2012-09-01,159.039993,164.789993,155.830002,157.119995,157.119995,0
2012-10-01,156.619995,159.360001,153.199997,154.529999,154.529999,0
2012-11-01,155.860001,157.710007,147.600006,154.119995,154.119995,0
2012-12-01,154.410004,158.970001,153.800003,157.479996,157.479996,0
2013-01-01,158.179993,167.009995,158.179993,164.800003,164.800003,0
2013-02-01,164.690002,168.250000,163.789993,167.130005,167.130005,0
2013-03-01,166.490005,170.770004,165.350006,170.449997,170.449997,0
2013-04-01,171.179993,179.699997,170.460007,179.419998,179.419998,0
2013-05-01,180.509995,186.690002,169.020004,169.350006,169.350006,0
2013-06-01,168.250000,169.750000,153.720001,164.309998,164.309998,0
2013-07-01,163.350006,171.199997,159.130005,163.940002,163.940002,0
2013-08-01,163.940002,164.869995,150.289993,153.289993,153.289993,0
2013-09-01,153.289993,165.399994,150.830002,157.720001,157.720001,0
2013-10-01,157.720001,168.770004,155.720001,163.759995,163.759995,0
2013-11-01,163.759995,165.000000,155.899994,156.160004,156.160004,0
2013-12-01,156.160004,158.289993,152.770004,156.350006,156.350006,0
2014-01-01,156.350006,162.410004,155.029999,161.410004,161.410004,0
2014-02-01,161.410004,169.020004,158.220001,168.559998,168.559998,0
2014-03-01,168.559998,170.860001,164.029999,168.029999,168.029999,0
2014-04-01,168.029999,172.580002,166.600006,172.580002,172.580002,0
2014-05-01,172.580002,177.059998,171.350006,176.880005,176.880005,0
2014-06-01,176.880005,180.330002,174.279999,177.860001,177.860001,0
2014-07-01,177.860001,181.580002,176.479996,177.259995,177.259995,0
2014-08-01,177.259995,184.009995,176.020004,182.759995,182.759995,0
2014-09-01,181.940002,184.630005,170.080002,171.369995,171.369995,0
2014-10-01,171.369995,186.160004,170.119995,185.970001,185.970001,0
2014-11-01,185.970001,191.440002,184.440002,189.770004,189.770004,0
2014-12-01,189.770004,194.990005,184.820007,191.039993,191.039993,0
2015-01-01,190.649994,206.960007,190.649994,201.070007,201.070007,0
2015-02-01,201.070007,203.910004,193.580002,195.470001,195.470001,0
2015-03-01,195.470001,203.399994,188.919998,196.570007,196.570007,0
2015-04-01,196.570007,200.149994,186.070007,187.009995,187.009995,0
2015-05-01,187.009995,191.130005,183.460007,186.320007,186.320007,0
2015-06-01,186.320007,188.600006,176.720001,177.089996,177.089996,0
2015-07-01,177.089996,186.740005,176.809998,185.419998,185.419998,0
2015-08-01,185.419998,189.380005,170.449997,174.449997,174.449997,0
2015-09-01,174.449997,181.550003,169.199997,176.479996,176.479996,0
2015-10-01,176.479996,190.759995,175.440002,186.990005,186.990005,0
2015-11-01,186.990005,190.960007,178.880005,186.009995,186.009995,0
2015-12-01,186.009995,189.690002,179.500000,186.929993,186.929993,0
2016-01-01,186.929993,188.869995,168.070007,180.179993,180.179993,0
2016-02-01,180.179993,181.660004,165.440002,179.259995,179.259995,0
2016-03-01,179.259995,196.259995,179.259995,196.059998,196.059998,0
2016-04-01,196.059998,197.029999,190.080002,192.479996,192.479996,0
2016-05-01,192.479996,202.679993,190.490005,196.529999,196.529999,0
2016-06-01,196.289993,208.309998,195.639999,208.300003,208.300003,0
2016-07-01,208.300003,217.039993,206.679993,216.039993,216.039993,0
2016-08-01,216.039993,216.869995,205.350006,208.509995,208.509995,0
2016-09-01,208.509995,212.759995,198.600006,204.270004,204.270004,0
2016-10-01,204.270004,204.270004,190.350006,193.929993,193.929993,0
2016-11-01,193.929993,193.929993,182.759995,189.660004,189.660004,0
2016-12-01,189.660004,197.660004,185.839996,196.210007,196.210007,0
2017-01-01,196.210007,201.089996,194.490005,196.429993,196.429993,0
