Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,80.410004,94.250000,76.290001,93.510002,74.334740,22056600
2010-08-01,93.989998,94.739998,88.440002,91.209999,72.506386,16004500
2010-09-01,92.000000,104.430000,91.639999,102.349998,81.362015,12134500
2010-10-01,102.599998,105.089996,69.419998,84.239998,66.965683,78522100
2010-11-01,84.360001,86.879997,77.449997,77.599998,61.687260,22474900
2010-12-01,78.830002,86.199997,78.779999,81.260002,64.596733,19019200
2011-01-01,82.230003,93.019997,81.070000,88.419998,70.288483,17853900
2011-02-01,88.940002,93.650002,84.889999,86.440002,68.714523,20954900
2011-03-01,86.760002,91.849998,82.190002,91.099998,72.418938,16846000
2011-04-01,91.550003,104.410004,90.459999,100.660004,80.018570,14936900
2011-05-01,100.669998,102.410004,96.449997,101.400002,80.606834,11986600
2011-06-01,101.410004,101.930000,95.129997,101.019997,80.304726,11114300
2011-07-01,100.820000,107.000000,96.260002,104.470001,83.047272,13088000
2011-08-01,105.650002,106.000000,80.849998,94.040001,74.756073,23470700
2011-09-01,94.269997,96.849998,86.070000,88.830002,70.614433,16898000
2011-10-01,88.099998,102.309998,82.430000,96.010002,76.322075,15734000
2011-11-01,93.250000,103.199997,90.269997,100.019997,79.509781,13667200
2011-12-01,99.370003,104.580002,97.330002,101.400002,80.606834,11085500
2012-01-01,103.089996,121.750000,99.000000,119.959999,95.360870,20869300
2012-02-01,121.160004,143.000000,119.019997,140.179993,111.434555,25902800
2012-03-01,141.179993,159.500000,134.149994,157.449997,125.163155,24554600
2012-04-01,156.039993,172.440002,147.350006,164.199997,130.529007,25429500
2012-05-01,164.369995,167.320007,146.479996,163.110001,129.662491,27286200
2012-06-01,159.539993,178.419998,154.160004,175.649994,139.631058,23282700
2012-07-01,176.029999,189.279999,158.979996,178.179993,141.642181,20421400
2012-08-01,179.320007,203.160004,173.360001,197.649994,157.119705,15718400
2012-09-01,197.759995,212.000000,185.070007,206.050003,163.797180,23329700
2012-10-01,206.429993,207.770004,176.720001,180.589996,143.558014,17401500
2012-11-01,179.960007,196.979996,170.710007,185.759995,147.667831,20960000
2012-12-01,186.160004,208.910004,179.699997,206.199997,163.916428,17072300
2013-01-01,211.229996,226.339996,210.350006,215.429993,171.253754,12732900
2013-02-01,217.550003,231.259995,206.619995,211.550003,168.169327,20170300
2013-03-01,210.169998,218.860001,205.119995,216.309998,171.953262,11644600
2013-04-01,217.000000,222.710007,205.000000,214.100006,170.196472,19186600
2013-05-01,214.750000,231.559998,200.279999,202.639999,161.086441,17635300
2013-06-01,202.350006,205.259995,172.970001,184.720001,146.841156,34278600
2013-07-01,187.529999,205.360001,177.529999,179.350006,142.572342,23132400
2013-08-01,180.179993,183.910004,163.729996,173.740005,138.112732,23303800
2013-09-01,175.559998,184.929993,170.309998,183.649994,145.990509,14596100
2013-10-01,183.110001,185.440002,161.229996,161.250000,128.183929,28124000
2013-11-01,161.000000,172.580002,152.820007,160.699997,127.746712,22476100
2013-12-01,161.100006,178.679993,155.830002,177.449997,141.061920,16936000
2014-01-01,177.630005,187.669998,171.910004,185.199997,147.222748,20420500
2014-02-01,185.779999,196.199997,178.580002,189.960007,151.006592,19073500
2014-03-01,188.970001,194.990005,178.690002,184.839996,146.936554,14711400
2014-04-01,185.479996,188.619995,169.949997,187.809998,149.297485,22044200
2014-05-01,188.009995,200.460007,182.289993,198.750000,157.994141,14663300
2014-06-01,199.110001,211.860001,196.000000,210.089996,167.008713,18241300
2014-07-01,211.009995,220.850006,207.029999,214.520004,170.530304,13167500
2014-08-01,213.559998,224.479996,207.550003,218.259995,173.503372,9733100
2014-09-01,217.649994,221.389999,205.509995,212.479996,168.908615,12818100
2014-10-01,212.410004,212.410004,189.550003,208.899994,166.062775,20572000
2014-11-01,208.839996,229.160004,208.039993,227.169998,187.673462,10783800
2014-12-01,227.149994,235.839996,217.679993,226.729996,187.309906,12299900
2015-01-01,228.509995,233.600006,214.550003,216.860001,179.155930,12415700
2015-02-01,218.050003,238.809998,213.889999,224.179993,185.203262,11461400
2015-03-01,224.929993,244.970001,219.300003,232.850006,192.365921,28642300
2015-04-01,233.309998,262.000000,230.610001,255.929993,212.961227,13323700
2015-05-01,258.929993,270.519989,256.040009,268.070007,223.062958,16575900
2015-06-01,274.130005,274.130005,249.960007,254.000000,212.695419,15866800
2015-07-01,255.539993,288.119995,251.449997,278.910004,233.554672,12466400
2015-08-01,279.769989,288.500000,250.860001,269.769989,225.900986,19162100
2015-09-01,265.089996,294.489990,260.429993,273.399994,230.375687,19699000
2015-10-01,274.859985,301.769989,262.600006,296.679993,249.992096,17899500
2015-11-01,297.769989,304.730011,282.799988,296.500000,259.880310,15797200
2015-12-01,297.700012,305.000000,287.299988,302.399994,265.051666,15639600
2016-01-01,299.750000,318.359985,281.850006,310.570007,273.748596,25752200
2016-02-01,310.049988,315.809998,255.449997,303.690002,267.684265,24882700
2016-03-01,306.239990,331.799988,294.049988,330.709991,291.500763,17723900
2016-04-01,328.309998,334.619995,316.299988,330.350006,292.838013,10699800
2016-05-01,331.100006,368.890015,326.559998,362.000000,320.894165,13836000
2016-06-01,360.970001,387.929993,360.209991,387.730011,345.454681,15952500
2016-07-01,387.820007,391.070007,370.010010,372.869995,332.214935,8880000
2016-08-01,373.929993,380.000000,361.220001,368.649994,328.455078,11429000
2016-09-01,368.410004,379.230011,348.100006,360.250000,322.511688,13551100
2016-10-01,360.630005,374.260010,342.279999,357.279999,319.852814,9971700
2016-11-01,357.779999,358.200012,314.549988,338.760010,303.272980,16000000
2016-12-01,338.450012,369.670013,327.369995,357.410004,321.701233,13248400
2017-01-01,357.290009,390.519989,355.179993,384.980011,346.516693,9067500
2017-02-01,385.000000,388.299988,368.570007,376.070007,338.496918,9257400
2017-03-01,375.980011,403.619995,361.899994,400.369995,362.310059,19787100
2017-04-01,400.940002,418.119995,396.940002,417.700012,377.992676,8522900
2017-05-01,417.690002,446.579987,416.299988,441.010010,399.086884,9951000
2017-06-01,441.700012,447.260010,416.720001,429.160004,390.191956,12795500
2017-07-01,431.540009,451.290009,416.640015,450.730011,409.803436,7667300
2017-08-01,452.250000,470.440002,437.320007,468.410004,425.878021,9570000
2017-09-01,468.239990,475.279999,430.709991,446.299988,407.587158,11857000
2017-10-01,447.329987,472.709991,439.540009,463.500000,423.295258,7431400
2017-11-01,464.970001,495.350006,461.299988,464.489990,424.199249,7994000
2017-12-01,464.750000,471.390015,441.000000,453.220001,415.623901,8796100
2018-01-01,453.529999,461.730011,428.299988,455.190002,417.430450,14359900
2018-02-01,452.690002,457.859985,384.220001,392.100006,359.573975,17093800
2018-03-01,393.010010,421.589996,370.790009,418.140015,385.706207,14499200
2018-04-01,419.119995,423.399994,399.920013,420.790009,388.150665,10066100
2018-05-01,420.790009,433.260010,379.660004,396.850006,366.067627,13310600
2018-06-01,397.190002,432.420013,390.739990,429.890015,398.884247,14463700
2018-07-01,429.339996,449.390015,423.170013,439.279999,407.596924,10035000
2018-08-01,437.000000,457.989990,426.000000,436.130005,404.674194,11812200
2018-09-01,434.329987,449.910004,421.500000,432.890015,403.768097,9040400
2018-10-01,433.260010,436.149994,374.390015,378.739990,353.260925,11832600
2018-11-01,379.820007,401.679993,374.239990,385.279999,359.361023,12199700
2018-12-01,387.450012,396.589996,335.290009,352.559998,330.778809,11321800
2019-01-01,349.279999,394.829987,343.579987,394.000000,369.658600,13588500
2019-02-01,393.450012,433.640015,372.750000,423.500000,397.336090,11797300
2019-03-01,424.459991,460.880005,420.000000,453.160004,427.615906,11464600
2019-04-01,443.559998,467.989990,440.720001,454.700012,429.069092,7392000
2019-05-01,453.600006,500.200012,449.529999,485.790009,458.406616,8912200
2019-06-01,487.609985,516.950012,471.799988,504.290009,478.314514,7628500
2019-07-01,509.040009,528.979980,484.239990,502.100006,476.237335,7232400
2019-08-01,529.479980,562.469971,504.910004,556.280029,527.626709,8896700
2019-09-01,555.380005,609.969971,525.380005,576.799988,549.522095,8836600
2019-10-01,574.840027,582.679993,553.669983,566.780029,539.976074,7455700
2019-11-01,565.330017,573.179993,519.369995,566.849976,540.042664,8948200
2019-12-01,564.809998,584.450012,543.109985,583.700012,558.557495,7609100
2020-01-01,583.909973,608.109985,575.010010,589.729980,564.327576,8099100
2020-02-01,592.559998,657.000000,563.549988,572.799988,548.126892,8906600
2020-03-01,577.880005,649.000000,477.869995,624.570007,600.142334,19123000
2020-04-01,608.179993,715.750000,580.690002,675.200012,648.792053,11606000
2020-05-01,670.340027,701.150024,639.429993,697.630005,670.344788,12504400
2020-06-01,699.869995,718.330017,647.760010,702.299988,677.553040,12274500
2020-07-01,703.039978,787.700012,697.280029,785.479980,757.802002,7785600
2020-08-01,776.640015,805.809998,754.919983,789.780029,761.950623,7309500
2020-09-01,790.159973,801.979980,729.390015,760.130005,735.880554,7006900
2020-10-01,764.260010,839.770020,719.859985,731.239990,707.912231,8263200
2020-11-01,740.250000,808.020020,686.770020,697.789978,675.529297,11449000
2020-12-01,706.590027,719.239990,671.900024,714.179993,693.840698,10400500
2021-01-01,718.340027,747.429993,660.719971,739.960022,718.886475,9315400
2021-02-01,737.960022,770.349976,624.030029,648.340027,629.875854,12588300
2021-03-01,649.320007,691.219971,586.729980,679.590027,663.087585,14457200
2021-04-01,685.700012,735.770020,673.309998,720.760010,703.257813,8347800
2021-05-01,720.780029,745.859985,690.599976,736.719971,718.830200,8585900
2021-06-01,739.530029,829.609985,733.039978,802.599976,786.266479,18051700
2021-07-01,800.559998,845.619995,784.289978,820.409973,803.713928,9949300
2021-08-01,820.000000,848.479980,797.650024,843.450012,826.285095,8899000
2021-09-01,837.929993,885.260010,786.890015,790.130005,776.759155,14099000
2021-10-01,793.000000,849.510010,744.789978,837.070007,822.904846,9236100
2021-11-01,836.700012,847.000000,770.000000,812.200012,798.455627,10494300
2021-12-01,815.520020,853.419983,783.619995,845.840027,834.528381,8701700
2022-01-01,845.679993,847.710022,673.159973,724.900024,715.205750,9060800
2022-02-01,726.750000,727.989990,662.260010,709.729980,700.238586,10112800
2022-03-01,711.450012,765.070007,676.390015,741.619995,731.702087,10171900
2022-04-01,741.729980,776.349976,716.789978,719.080017,712.527893,7678000
2022-05-01,721.650024,735.690002,621.340027,687.090027,680.829407,11139700
2022-06-01,689.869995,694.760010,606.119995,657.020020,654.170532,13190500
2022-07-01,654.869995,715.489990,610.380005,703.739990,700.687927,8395900
2022-08-01,703.070007,718.039978,682.929993,696.789978,693.768005,5187600
