Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,472.549988,484.079987,465.339996,468.279999,468.279999,0
2012-03-01,467.029999,488.359985,463.940002,487.579987,487.579987,0
2012-04-01,487.640015,501.410004,466.529999,496.519989,496.519989,0
2012-05-01,499.839996,507.769989,465.790009,475.579987,475.579987,0
2012-06-01,476.380005,502.730011,464.559998,502.700012,502.700012,0
2012-07-01,502.700012,519.710022,498.799988,511.839996,511.839996,0
2012-08-01,512.859985,518.219971,501.320007,510.049988,510.049988,0
2012-09-01,511.989990,531.210022,501.149994,505.440002,505.440002,0
2012-10-01,503.640015,515.250000,493.649994,497.700012,497.700012,0
2012-11-01,501.679993,508.980011,478.190002,497.880005,497.880005,0
2012-12-01,498.730011,515.479980,496.970001,512.020020,512.020020,0
2013-01-01,514.429993,541.099976,514.429993,532.609985,532.609985,0
2013-02-01,532.299988,544.000000,529.390015,540.190002,540.190002,0
2013-03-01,537.760010,551.280029,533.859985,550.179993,550.179993,0
2013-04-01,552.909973,582.849976,551.440002,581.969971,581.969971,0
2013-05-01,585.659973,611.380005,551.919983,553.359985,553.359985,0
2013-06-01,549.619995,555.020020,502.329987,538.820007,538.820007,0
2013-07-01,535.200012,564.900024,524.049988,538.830017,538.830017,0
2013-08-01,538.830017,542.280029,493.140015,501.649994,501.649994,0
2013-09-01,501.649994,542.520020,492.910004,516.390015,516.390015,0
2013-10-01,516.390015,554.109985,509.859985,537.630005,537.630005,0
2013-11-01,537.630005,541.929993,509.579987,510.209991,510.209991,0
2013-12-01,510.209991,517.799988,498.410004,510.329987,510.329987,0
2014-01-01,510.329987,530.640015,505.799988,526.520020,526.520020,0
2014-02-01,526.520020,551.219971,515.400024,549.549988,549.549988,0
2014-03-01,549.549988,557.130005,534.039978,548.869995,548.869995,0
2014-04-01,548.869995,564.409973,544.440002,564.380005,564.380005,0
2014-05-01,564.380005,581.099976,559.969971,579.190002,579.190002,0
2014-06-01,579.190002,591.119995,569.760010,582.609985,582.609985,0
2014-07-01,582.609985,595.900024,578.450012,581.989990,581.989990,0
